Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC
Original,,,,0.08,0.1,0.001,0.001,0.35,1.352,0.484,21.575,1.4462,0.15,4.6,7.4,3,7,,,,,,,,,,,,,,,0.3034247123,0.3093042773,27.1192102391,0.5985948876,0.2242908465,11.8034894868,0.0360636678,0.2843007814,3.1389721533,0.1138322802,0.1422903503,1.4900079436,0.3408228175,0.0489665490,10.8879199557, , 
Model_iteration_1,"['YX_N', 'Xmax']","[10.4, 1.15]","[10.6, 1.17]",,,,,,,,10.5574585124,1.1572398425,,,,,,,,,,,,,786.3493003837,11236.3556145569,,,,,,0.0965939714,0.0984657060,8.4852576256,0.2571178151,0.0963409037,4.7297541028,0.0245412067,0.1934657417,2.0199989544,0.0387190909,0.0483988636,0.5034294569,0.1392312869,0.0200035775,3.9346100350,-153.7295035338,-150.3517446256
Model_iteration_2,"['YX_N', 'Xmax']","[10.4, 1.15]","[10.6, 1.17]",,,,,,,,10.4185798043,1.1559182364,,,,,,,,,,,,,795.5622647424,11237.1424412745,,,,,,0.0960343761,0.0978952672,8.4365788630,0.2569707191,0.0962857874,4.7263590400,0.0246326958,0.1941869777,2.0243679316,0.0385594323,0.0481992904,0.5003813532,0.1390594759,0.0199788931,3.9219217969,-153.8282842484,-150.4505253402
Model_iteration_1,['Xmax'],[1.15],[1.17],,,,,,,,,1.1557571219,,,,,,,,,,,,,,11241.3210362107,,,,,,0.0960472993,0.0979084408,8.4475174975,0.2571040347,0.0963357402,4.7318922127,0.0450517550,0.3551565857,4.2088575793,0.0385644303,0.0482055379,0.5011472673,0.1403962644,0.0201709516,4.4723536392,-155.0629115386,-153.3740320844
Model_iteration_2,['Xmax'],[1.15],[1.17],,,,,,,,,1.1559399433,,,,,,,,,,,,,,11241.2050422468,,,,,,0.0961238369,0.0979864615,8.4541952753,0.2571225310,0.0963426707,4.7323416226,0.0450456868,0.3551087487,4.2081789224,0.0385861089,0.0482326362,0.5015648438,0.1404188286,0.0201741934,4.4740701661,-155.0500551759,-153.3611757218
Model_iteration_1,['YX_N'],[10.4],[10.6],,,,,,,,10.5674956618,,,,,,,,,,,,,,1041.3435654343,,,,,,,0.3032259952,0.3091017095,27.0938438305,0.5981067371,0.2241079387,11.7928971261,0.0363103224,0.2862452337,3.2817211129,0.1137438499,0.1421798124,1.4885113381,0.3405634214,0.0489292811,10.9142433519,-84.1723128867,-82.4834334326
Model_iteration_2,['YX_N'],[10.4],[10.6],,,,,,,,10.4135114310,,,,,,,,,,,,,,1056.5814936767,,,,,,,0.3032199770,0.3090955748,27.0930821220,0.5980919603,0.2241024019,11.7925770971,0.0374098238,0.2949129350,3.3680499668,0.1137411837,0.1421764796,1.4884663911,0.3405851212,0.0489323988,10.9355438942,-84.1672156561,-82.4783362020
