Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,Rank_Ratio,Highly_Corr,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC,D-W,A-D
Original_Model, , , ,0.080,0.100,0.001,0.001,0.350,1.352,0.484,21.575,1.446,0.150,4.600,7.400,3.000,7.000,,,,,,,,,,,,,,,1.0,12,0.3034247123,0.3093042773,27.1192102391,0.5985948876,0.2242908465,11.8034894868,0.0360636678,0.2843007814,3.1389721533,0.1138322802,0.1422903503,1.4900079436,0.3408228175,0.0489665490,10.8879199557, , ,1.9095615081,0.3097637697
Model_1_1,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.5, 1.16, 0.14]",,,,,,,,10.4384999592,1.1533863349,0.1341507531,,,,,,,,,,,,700.3030318300914,6854.037145023006,12787.874725108519,,,,,1.0,26,0.0910024801,0.0927658664,6.9507578589,0.2491376123,0.0933507571,4.2237633055,0.0255781659,0.2016404041,2.1379272939,0.0392062406,0.0490078007,0.5302656059,0.1346684569,0.0193480285,3.4606785161,-154.3951516850,-149.3285133227,3.8904077163,2.0065245263
Model_2_1,"['Xmax', 'mu_max']","[1.15, 0.13]","[1.16, 0.14]",,,,,,,,,1.1560801448,0.1366427220,,,,,,,,,,,,,7047.999094040252,13178.444167068783,,,,,1.0,22,0.0921906036,0.0939770127,7.0910304577,0.2496637270,0.0935478900,4.2753259692,0.0456186256,0.3596253981,4.2638675280,0.0386926763,0.0483658453,0.5150524114,0.1363903096,0.0195954098,4.0363190916,-155.3787664186,-152.0010075104,3.4113085483,1.9054833781
Model_3_1,"['YX_N', 'mu_max']","[10.4, 0.13]","[10.5, 0.14]",,,,,,,,10.4114567289,,0.1337026331,,,,,,,,,,,,905.9821697013873,,21259.843951598286,,,,,1.0,13,0.2914949908,0.2971433895,24.4702571014,0.5683243652,0.2129486162,10.9587598620,0.0374548874,0.2952681853,3.3322693560,0.1080033903,0.1350042379,1.3342842919,0.3244339357,0.0466119326,10.0238926529,-86.0538681141,-82.6761092058,2.2218643777,0.3709589918
Model_4_1,"['YX_N', 'Xmax']","[10.4, 1.15]","[10.5, 1.16]",,,,,,,,10.4599074001,1.1518220138,,,,,,,,,,,,,788.9518284909365,11239.689390990603,,,,,,1.0,25,0.0943690748,0.0961976968,8.2871871905,0.2566694924,0.0961729191,4.7314253664,0.0245496817,0.1935325525,2.0187455442,0.0381018979,0.0476273724,0.4910258119,0.1385994157,0.0199127955,3.8820959783,-154.0933926583,-150.7156337501,3.0096978342,1.7244487211
Model_5_1,['mu_max'],[0.13],[0.14],,,,,,,,,,0.1363714253,,,,,,,,,,,,,,21616.762317358276,,,,,1.0,19,0.2937155071,0.2994069335,24.9588065156,0.5740741821,0.2151030471,11.1273435824,0.0368546536,0.2905363610,3.2098031520,0.1089657483,0.1362071854,1.3640197870,0.3275140323,0.0470544549,10.1649932593,-87.2979502481,-85.6090707940,2.1444201326,0.3562155422
Model_6_1,['Xmax'],[1.15],[1.16],,,,,,,,,1.1540513754,,,,,,,,,,,,,,11242.581035027824,,,,,,1.0,17,0.0953417116,0.0971891807,8.3851844620,0.2569514646,0.0962785729,4.7276870475,0.0451083951,0.3556030969,4.2151904696,0.0383667500,0.0479584375,0.4972430422,0.1401970684,0.0201423328,4.4563262553,-155.1764971825,-153.4876177284,2.6296947918,1.6757677150
Model_7_1,['YX_N'],[10.4],[10.5],,,,,,,,10.4326761354,,,,,,,,,,,,,,1054.6607775637276,,,,,,,1.0,14,0.3032207365,0.3090963490,27.0931782268,0.5980938251,0.2241031006,11.7926174818,0.0372696481,0.2938078878,3.3571667972,0.1137415201,0.1421769002,1.4884720621,0.3405822950,0.0489319927,10.9328586420,-84.1678795089,-82.4790000548,1.9867147236,0.3112772681
