Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC
Original,,,,0.05,0.1,0.005,0.001,0.35,1.352,0.484,21.575,1.4462,0.15,4.6,7.4,3,7,,,,,,,,,,,,,,,0.2741326993,0.2794446629,21.7942201194,0.5164994156,0.1935300377,9.6951604822,0.0399331288,0.3148049103,3.4959769219,0.1062724098,0.1328405122,1.3785491794,0.2978291721,0.0427895845,9.0909766757,-90.8988163825,-85.8321780202
Model_iteration_1,"['YX_N', 'Xmax']","[10.4, 1.15]","[10.6, 1.17]",,,,,,,,10.4743060498,1.1604882959,,,,,,,,,,,,,480.6916590430,7480.6376688786,,,,,,0.1127339033,0.1149183869,8.9599437150,0.2783313984,0.1042895392,5.3361323809,0.0284568822,0.2243341937,2.4171236534,0.0679345017,0.0849181271,0.8122842103,0.1545980198,0.0222113401,4.3813709899,-145.3541560917,-141.9763971835
