Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC
Original,,,,0.05,0.1,0.005,0.001,0.35,1.352,0.484,21.575,1.4462,0.15,4.6,7.4,3,7,,,,,,,,,,,,,,,0.2741326993,0.2794446629,21.7942201194,0.5164994156,0.1935300377,9.6951604822,0.0399331288,0.3148049103,3.4959769219,0.1062724098,0.1328405122,1.3785491794,0.2978291721,0.0427895845,9.0909766757,-90.8988163825,-85.8321780202
Original,,,,50,56566565,0.005,0.001,0.35,1.352,0.484,21.575,1.4462,0.15,4.6,7.4,3,7,,,,,,,,,,,,,,,0.7422907216,0.7566743442,63.1255153948,1.7045212179,0.6386765320,37.5879465806,0.0798065302,0.6291389716,7.7694137313,0.6145780437,0.7682225546,8.4254649491,0.9798550086,0.1407773066,29.2270851640,4.3719465067,9.4385848691
