Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC
Model_iteration_1,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0910890047,0.0928540677,6.9311492261,0.2490099664,0.0933029288,4.2411223191,0.0256217419,0.2019839264,2.1428252298,0.0394366868,0.0492958585,0.5346872017,0.1346429501,0.0193443639,3.4624459941," "," "
Model_iteration_2,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0910890047,0.0928540677,6.9311492261,0.2490099664,0.0933029288,4.2411223191,0.0256217419,0.2019839264,2.1428252298,0.0394366868,0.0492958585,0.5346872017,0.1346429501,0.0193443639,3.4624459941," "," "
Model_iteration_1,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0910890047,0.0928540677,6.9311492261,0.2490099664,0.0933029288,4.2411223191,0.0256217419,0.2019839264,2.1428252298,0.0394366868,0.0492958585,0.5346872017,0.1346429501,0.0193443639,3.4624459941," "," "
Model_iteration_2,[],[],[],,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0910890047,0.0928540677,6.9311492261,0.2490099664,0.0933029288,4.2411223191,0.0256217419,0.2019839264,2.1428252298,0.0394366868,0.0492958585,0.5346872017,0.1346429501,0.0193443639,3.4624459941," "," "
Original,,,,0.08,0.1,0.001,0.001,0.35,1.352,0.484,10.44932863,1.153693846,0.133478179,4.6,7.4,3,7,,,,,,,,,,,,,,,0.0910890047,0.0928540677,6.9311492261,0.2490099664,0.0933029288,4.2411223191,0.0256217419,0.2019839264,2.1428252298,0.0394366868,0.0492958585,0.5346872017,0.1346429501,0.0193443639,3.4624459941,-154.4103054560,-149.3436670937
Original,,,,0.08,0.1,0.001,0.001,0.35,1.352,0.484,21.575,1.4462,2,4.6,7.4,3,7,,,,,,,,,,,,,,,0.3034247123,0.3093042773,27.1192102391,0.5985948876,0.2242908465,11.8034894868,0.0360636678,0.2843007814,3.1389721533,0.1138322802,0.1422903503,1.4900079436,0.3408228175,0.0489665490,10.8879199557," "," "
Original,,,,0.08,0.1,0.001,0.001,0.35,1.352,0.484,21.575,1.4462,0.15,4.6,7.4,3,7,,,,,,,,,,,,,,,0.3034247123,0.3093042773,27.1192102391,0.5985948876,0.2242908465,11.8034894868,0.0360636678,0.2843007814,3.1389721533,0.1138322802,0.1422903503,1.4900079436,0.3408228175,0.0489665490,10.8879199557," "," "
Original,,,,0.08,0.1,0.001,0.001,0.35,1.352,0.484,21.575,1.4462,0.15,4.6,7.4,3,7,,,,,,,,,,,,,,,0.3034247123,0.3093042773,27.1192102391,0.5985948876,0.2242908465,11.8034894868,0.0360636678,0.2843007814,3.1389721533,0.1138322802,0.1422903503,1.4900079436,0.3408228175,0.0489665490,10.8879199557," "," "
Model_iteration_1,"['YX_N', 'Xmax', 'mu_max']","[10.44932863, 1.153693846, 0.133478179]","[10.44932863, 1.153693846, 0.133478179]",,,,,,,,10.4493286300,1.1536938460,0.1334781790,,,,,,,,,,,,695.6099075193,6805.3104227908,12697.0476852841,,,,,0.0910890047,0.0928540677,6.9311492261,0.2490099664,0.0933029288,4.2411223191,0.0256217419,0.2019839264,2.1428252298,0.0394366868,0.0492958585,0.5346872017,0.1346429501,0.0193443639,3.4624459941,-154.4103054560,-149.3436670937
