Model;Param Combo;lb;ub;k_C;k_N;k_O;k_d;YX_CO2;YX_O2;YX_C;YX_N;Xmax;mu_max;pH_LL;pH_UL;I_val;t_lag;t_value_k_C;t_value_k_N;t_value_k_O;t_value_k_d;t_value_YX_CO2;t_value_YX_O2;t_value_YX_C;t_value_YX_N;t_value_Xmax;t_value_mu_max;t_value_pH_LL;t_value_pH_UL;t_value_I_val;t_value_t_lag;RMSE_X;NMRSE_X;MAPE_X;RMSE_C;NMRSE_C;MAPE_C;RMSE_N;NMRSE_N;MAPE_N;RMSE_pH;NMRSE_pH;MAPE_pH;RMSE;NMRSE;MAPE;AIC;BIC
Model_iteration_22;['YX_C', 'Xmax', 'mu_max'];[0.35, 1.15, 0.08];[0.8, 1.2, 0.16];;;;;;;0.741491032;;1.187298941;0.111834278;;;;;;;;;;;86.58367305;;5019.70693;9816.141894;;;;;0.109922546;0.112052553;8.507863551;0.635349906;0.238062789;13.52052962;0.046074371;0.363218179;4.2922895;0.054943394;0.068679242;0.727419731;0.324381756;0.046604436;6.762025601;-84.06673594;-79.00009758
Model_iteration_9;['YX_C', 'Xmax', 'mu_max'];[0.35, 1.15, 0.08];[0.8, 1.2, 0.16];;;;;;;0.71445441;;1.156172617;0.108121382;;;;;;;;;;;84.09255893;;4627.713908;9047.614571;;;;;0.104073283;0.106089947;8.364289776;0.636458063;0.23847801;13.5552023;0.047272152;0.372660647;4.426352831;0.058774397;0.073467996;0.743361827;0.324653354;0.046643457;6.772301682;-83.99978158;-78.93314321
Model_iteration_49;['YX_C', 'YX_N', 'Xmax'];[0.35, 10.0, 1.15];[0.8, 15.0, 1.2];;;;;;;0.774122161;13.17054572;1.189954103;;;;;;;;;;;;106.3107727;654.9013372;11199.76504;;;;;;0.113097741;0.115289275;9.693641334;0.637824668;0.238990071;13.3869111;0.026983905;0.212722266;2.256378072;0.044138177;0.055172721;0.578065453;0.324918342;0.046681528;6.478748991;-83.9345107;-78.86787234
Model_iteration_48;['YX_N', 'mu_max'];[10.0, 0.08];[15.0, 0.16];;;;;;;;14.67566525;;0.142422327;;;;;;;;;;;;704.5654812;;22475.66049;;;;;0.298096128;0.303872439;25.94170216;0.585261247;0.219294791;11.44502976;0.025794462;0.203345533;2.18068373;0.111025554;0.138781942;1.422364617;0.333310687;0.047887269;10.24744507;-83.89441842;-80.51665951
Model_iteration_41;['mu_max'];[0.08];[0.16];;;;;;;;;;0.15105709;;;;;;;;;;;;;;23781.30975;;;;;0.304115865;0.310008823;27.27577729;0.600305683;0.224931874;11.84877553;0.036009139;0.283870917;3.134119375;0.114227583;0.142784479;1.498805945;0.341759408;0.04910111;10.93936953;-83.89186201;-82.20298256
Model_iteration_19;['YX_C', 'Xmax', 'pH_UL'];[0.35, 1.15, 5.5];[0.8, 1.2, 21.0];;;;;;;0.6747621;;1.186691914;;;8.681781621;;;;;;;;;255.3519725;;11104.04073;;;214062.6272;;;0.269340997;0.27456011;34.24135604;0.569233792;0.213289374;11.36240241;0.039315752;0.309937942;3.568010731;0.160264915;0.200331144;1.57745824;0.325500481;0.046765165;12.68730685;-83.7913071;-78.72466874
Model_iteration_26;['YX_C'];[0.35];[0.8];;;;;;;0.483089115;;;;;;;;;;;;;;214.617554;;;;;;;;0.303423954;0.309303504;27.11912468;0.602380626;0.225709346;11.89646992;0.036063704;0.284301064;3.138975811;0.113831961;0.142289951;1.490002881;0.342486065;0.04920551;10.91114332;-83.72194455;-82.0330651
Model_iteration_42;['mu_max'];[0.08];[0.16];;;;;;;;;;0.152184679;;;;;;;;;;;;;;23954.6816;;;;;0.304841467;0.310748485;27.44130706;0.602097224;0.225603157;11.89607392;0.035951883;0.283419547;3.129034104;0.114651363;0.143314204;1.508058706;0.34274147;0.049242205;10.99361845;-83.66230785;-81.9734284
Model_iteration_35;['YX_C', 'YX_N', 'Xmax', 'mu_max', 'pH_UL'];[0.35, 10.0, 1.15, 0.08, 5.5];[0.8, 15.0, 1.2, 0.16, 21.0];;;;;;;0.371862229;12.19428215;1.189302646;0.153839009;;6.56844398;;;;;;;;;234.1370853;625.0597559;1542.600641;673.9627417;;15909.91644;;;0.108212186;0.110309051;12.9201356;0.60778435;0.227734097;12.57757646;0.023987508;0.189100766;2.120708847;0.056305337;0.070381671;0.754951548;0.310184375;0.044564676;7.093343114;-83.64707214;-75.20267487
Model_iteration_10;['YX_N', 'Xmax', 'pH_UL'];[10.0, 1.15, 5.5];[15.0, 1.2, 21.0];;;;;;;;10.86593017;1.187737609;;;6.161044817;;;;;;;;;;971.4917551;8712.208619;;;361478.6537;;;0.261943056;0.267018816;38.13568105;0.572000122;0.214325906;8.943190991;0.01776729;0.140064913;1.305833898;0.175472484;0.219340604;1.645095759;0.326689674;0.046936018;12.50745043;-83.49956542;-78.43292705
