Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,Rank_Ratio,Highly_Corr,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC,D-W,A-D
Original_Model, , , ,0.080,0.100,0.001,0.001,0.350,1.352,0.484,21.575,1.446,0.150,4.600,7.400,3.000,7.000,,,,,,,,,,,,,,,1.0,12,0.3034247123,0.3093042773,27.1192102391,0.5985948876,0.2242908465,11.8034894868,0.0360636678,0.2843007814,3.1389721533,0.1138322802,0.1422903503,1.4900079436,0.3408228175,0.0489665490,10.8879199557, , ,1.9095615081,0.3097637697
Model_1_1,"['YX_N', 'Xmax', 'mu_max']","[10.4, 1.15, 0.13]","[10.5, 1.16, 0.14]",,,,,,,,10.4222254528,1.1513923493,0.1325023122,,,,,,,,,,,,689.6883941182576,6729.010282394573,12540.068818733798,,,,,1.0,23,0.0903493484,0.0921000788,6.8555705603,0.2491620145,0.0933599005,4.3181883706,0.0256840306,0.2024749673,2.1503657789,0.0396843687,0.0496054609,0.5398223756,0.1346098369,0.0193396065,3.4659867713,-154.4299825621,-149.3633441998,3.7590036653,2.0430311037
