Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC
Original,,,,0.08,0.1,0.001,0.001,0.35,1.352,0.484,21.575,1.4462,0.15,4.6,7.4,3,7,,,,,,,,,,,,,,,0.3034247123,0.3093042773,27.1192102391,0.5985948876,0.2242908465,11.8034894868,0.0360636678,0.2843007814,3.1389721533,0.1138322802,0.1422903503,1.4900079436,0.3408228175,0.0489665490,10.8879199557, , 
Model_iteration_1,"['YX_N', 'Xmax']","[10.4, 1.15]","[10.6, 1.17]",,,,,,,,10.5122792847,1.1675449171,,,,,,,,,,,,,798.4771621122,11229.6840255812,,,,,,0.1012487192,0.1032106505,8.8610370799,0.2589853052,0.0970406439,4.7549249757,0.0247005617,0.1947219853,2.0279679222,0.0401288724,0.0501610905,0.5268098063,0.1410187360,0.0202603831,4.0426849460,-152.7090014351,-149.3312425269
Model_iteration_2,"['YX_N', 'Xmax']","[10.4, 1.15]","[10.6, 1.17]",,,,,,,,10.4772776985,1.1616745333,,,,,,,,,,,,,796.0843361175,11233.3072324967,,,,,,0.0985299356,0.1004391840,8.6467415215,0.2577552563,0.0965797500,4.7404847391,0.0246544661,0.1943585996,2.0254420707,0.0392885435,0.0491106794,0.5134978109,0.1399083206,0.0201008479,3.9815415355,-153.3414339054,-149.9636749972
Model_iteration_1,['Xmax'],[1.15],[1.17],,,,,,,,,1.1603750541,,,,,,,,,,,,,,11238.4156433420,,,,,,0.0980348154,0.0999344697,8.6160908549,0.2576993914,0.0965588177,4.7432094162,0.0448986299,0.3539494546,4.1917185461,0.0391420309,0.0489275387,0.5116666268,0.1410388128,0.0202632675,4.5156713610,-154.6976126615,-153.0087332074
Model_iteration_2,['Xmax'],[1.15],[1.17],,,,,,,,,1.1567770575,,,,,,,,,,,,,,11241.0176549556,,,,,,0.0964759967,0.0983454452,8.4847064579,0.2572115425,0.0963760229,4.7343684808,0.0450179289,0.3548899249,4.2050742702,0.0386864758,0.0483580948,0.5034722922,0.1405246000,0.0201893898,4.4819053753,-154.9898172992,-153.3009378451
Model_iteration_1,['YX_N'],[10.4],[10.6],,,,,,,,10.5382748441,,,,,,,,,,,,,,1044.2017749089,,,,,,,0.3032248677,0.3091005603,27.0937011041,0.5981039688,0.2241069014,11.7928371693,0.0365142907,0.2878531776,3.2979094552,0.1137433504,0.1421791880,1.4885029162,0.3405673653,0.0489298477,10.9182376612,-84.1713864644,-82.4825070103
