Model,Param Combo,lb,ub,k_C,k_N,k_O,k_d,YX_CO2,YX_O2,YX_C,YX_N,Xmax,mu_max,pH_LL,pH_UL,I_val,t_lag,t_value_k_C,t_value_k_N,t_value_k_O,t_value_k_d,t_value_YX_CO2,t_value_YX_O2,t_value_YX_C,t_value_YX_N,t_value_Xmax,t_value_mu_max,t_value_pH_LL,t_value_pH_UL,t_value_I_val,t_value_t_lag,RMSE_X,NMRSE_X,MAPE_X,RMSE_C,NMRSE_C,MAPE_C,RMSE_N,NMRSE_N,MAPE_N,RMSE_pH,NMRSE_pH,MAPE_pH,RMSE,NMRSE,MAPE,AIC,BIC
Original,,,,0.08,0.1,0.001,0.001,0.35,1.352,0.484,21.575,1.4462,0.15,4.6,7.4,3,7,,,,,,,,,,,,,,,0.3034247123,0.3093042773,27.1192102391,0.5985948876,0.2242908465,11.8034894868,0.0360636678,0.2843007814,3.1389721533,0.1138322802,0.1422903503,1.4900079436,0.3408228175,0.0489665490,10.8879199557, , 
Model_iteration_1,"['YX_N', 'Xmax']","[10.4, 1.15]","[10.6, 1.17]",,,,,,,,10.4451494090,1.1688590942,,,,,,,,,,,,,804.6718453122,11228.8633127124,,,,,,0.1018785198,0.1038526550,8.9087407355,0.2593166290,0.0971647895,4.7690390726,0.0247937941,0.1954569640,2.0329512632,0.0403290786,0.0504113482,0.5297642966,0.1413024360,0.0203011427,4.0601238420,-152.5482199729,-149.1704610647
Model_iteration_2,"['YX_N', 'Xmax']","[10.4, 1.15]","[10.6, 1.17]",,,,,,,,10.5968014534,1.1589958887,,,,,,,,,,,,,784.9506744470,11235.0075518474,,,,,,0.0973494645,0.0992358386,8.5494467717,0.2573430427,0.0964252955,4.7340887483,0.0245346555,0.1934140963,2.0227729444,0.0389380215,0.0486725269,0.5074354488,0.1394816105,0.0200395418,3.9534359783,-153.5858008470,-150.2080419387
Model_iteration_1,['Xmax'],[1.15],[1.17],,,,,,,,,1.1570971845,,,,,,,,,,,,,,11240.4716244075,,,,,,0.0966119214,0.0984840039,8.4963991287,0.2572483328,0.0963898081,4.7351560866,0.0450073074,0.3548061920,4.2038858946,0.0387254659,0.0484068323,0.5042026872,0.1405666101,0.0201954254,4.4849109493,-154.9659047331,-153.2770252790
Model_iteration_2,['Xmax'],[1.15],[1.17],,,,,,,,,1.1643078993,,,,,,,,,,,,,,11235.9702332569,,,,,,0.0998156388,0.1017498008,8.7597550758,0.2584203089,0.0968289423,4.7529155277,0.0447683766,0.3529226285,4.1771159635,0.0396829154,0.0496036442,0.5206049657,0.1417067034,0.0203592244,4.5525978832,-154.3196661194,-152.6307866653
Model_iteration_1,['YX_N'],[10.4],[10.6],,,,,,,,10.4397395814,,,,,,,,,,,,,,1053.9548861596,,,,,,,0.3032210156,0.3090966335,27.0932135529,0.5980945105,0.2241033575,11.7926323258,0.0372182247,0.2934025015,3.3531657103,0.1137416438,0.1421770547,1.4884741467,0.3405812626,0.0489318444,10.9318714339,-84.1681220261,-82.4792425719
Model_iteration_2,['YX_N'],[10.4],[10.6],,,,,,,,10.4423008024,,,,,,,,,,,,,,1053.6986558909,,,,,,,0.3032211168,0.3090967366,27.0932263497,0.5980947588,0.2241034505,11.7926377030,0.0371996104,0.2932557594,3.3517162439,0.1137416886,0.1421771107,1.4884749018,0.3405808894,0.0489317908,10.9315137996,-84.1682096777,-82.4793302236
